id,default,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m
711009708,0,40,M,3,ensino medio,solteiro,$80K - $120K,blue,28,5,0,1,21617.54,1351.89,22
712215258,0,50,F,1,mestrado,solteiro,$40K - $60K,silver,31,2,3,2,18386.59,1298.55,22
773827008,0,47,M,4,sem educacao formal,solteiro,$60K - $80K,blue,41,6,2,2,2405.01,1087.22,29
795232683,0,53,F,1,graduacao,casado,menos que $40K,blue,47,4,3,2,2154.12,1439.28,26
713539833,0,48,F,4,ensino medio,solteiro,$40K - $60K,blue,38,6,3,1,8135.26,1716.18,29
712454058,0,49,M,1,doutorado,casado,$120K +,blue,38,6,3,1,9364.93,1099.88,27
718803333,0,43,F,4,mestrado,divorciado,menos que $40K,blue,34,2,1,3,3195.43,1285.54,29
720253908,0,56,M,0,ensino medio,casado,$80K - $120K,blue,43,5,1,2,2852.61,1651.52,28
713187033,0,46,M,1,sem educacao formal,casado,$60K - $80K,blue,36,3,2,2,20459.84,1767.95,38
772426383,0,50,F,4,sem educacao formal,casado,$40K - $60K,blue,40,5,3,2,3065.19,1130.34,28
710975883,0,51,F,3,sem educacao formal,casado,menos que $40K,blue,43,3,2,1,2185.8,1645.23,30
714264408,0,47,F,3,sem educacao formal,casado,menos que $40K,blue,36,4,0,1,1611.04,1413.06,29
715827858,0,58,F,4,sem educacao formal,casado,menos que $40K,blue,47,3,3,3,2822.92,1218.42,23
713741358,1,46,M,5,mestrado,solteiro,$80K - $120K,blue,33,6,3,3,32975.61,597.86,17
709531908,0,53,M,3,ensino medio,casado,$60K - $80K,blue,47,5,2,2,1438.57,2184.83,53
714141108,0,52,F,1,ensino medio,casado,menos que $40K,blue,45,6,3,3,6703.28,1388.72,28
712608783,0,50,M,2,ensino medio,casado,$80K - $120K,silver,45,3,3,1,34516.22,1504.44,34
820353558,0,41,F,3,ensino medio,casado,$40K - $60K,blue,36,4,2,1,9797.65,1503.16,34
714964758,0,45,F,5,mestrado,divorciado,$40K - $60K,blue,36,5,2,2,10400.82,1105.44,28
716264358,0,53,M,3,sem educacao formal,casado,$80K - $120K,blue,42,2,2,1,26792.84,2398.41,47
717296808,0,67,F,1,mestrado,casado,menos que $40K,blue,56,4,2,3,3006.0,1661.15,32
712977183,0,57,F,2,sem educacao formal,solteiro,$40K - $60K,silver,36,6,0,3,19482.96,1421.19,22
710829108,0,59,F,1,sem educacao formal,casado,$40K - $60K,blue,36,4,3,2,3356.53,999.47,28
779562633,0,45,M,2,sem educacao formal,casado,$40K - $60K,blue,34,3,1,2,5771.6,1387.68,18
715315833,0,51,M,3,mestrado,casado,$80K - $120K,blue,36,6,3,2,11106.73,1243.58,24
815500983,0,59,F,1,sem educacao formal,casado,menos que $40K,blue,54,5,0,3,2890.26,1860.16,36
719360583,0,53,M,1,mestrado,casado,$60K - $80K,blue,45,6,2,2,3380.75,1502.84,25
709701558,0,47,M,3,mestrado,casado,$60K - $80K,blue,36,2,2,1,21331.23,1460.6,50
779862408,0,49,M,3,doutorado,solteiro,$80K - $120K,blue,33,3,0,1,6278.72,1087.07,33
812627208,0,60,F,0,graduacao,solteiro,menos que $40K,blue,55,5,3,1,1439.0,1226.43,33
711033408,0,50,F,2,ensino medio,casado,menos que $40K,blue,36,5,2,1,9355.72,1230.97,28
780376683,0,57,M,1,mestrado,casado,$80K - $120K,blue,47,5,1,3,14612.54,1827.87,24
714454758,0,57,F,3,mestrado,casado,menos que $40K,blue,47,4,3,2,6347.04,1771.54,37
780466533,0,54,M,3,doutorado,casado,$120K +,blue,41,3,0,3,21592.49,1873.76,52
715735233,0,51,F,5,doutorado,casado,menos que $40K,blue,44,5,1,1,3449.71,1679.81,42
720476733,0,47,F,3,ensino medio,casado,menos que $40K,blue,34,2,2,1,6028.25,1002.7,22
712375758,0,53,M,3,sem educacao formal,casado,$80K - $120K,blue,43,3,1,3,16393.47,1461.96,42
708868233,1,68,M,0,ensino medio,casado,menos que $40K,blue,52,1,2,3,1438.72,760.47,21
718030083,0,59,M,1,graduacao,casado,$60K - $80K,blue,36,4,2,1,7871.3,1428.62,22
771698658,0,44,M,5,mestrado,casado,$60K - $80K,blue,32,4,3,5,11376.03,1302.61,27
748326258,0,48,M,3,graduacao,casado,$80K - $120K,blue,41,4,3,5,12302.46,1483.6,41
770817783,0,47,M,4,mestrado,casado,$60K - $80K,silver,33,3,1,2,34516.23,1060.78,27
779353083,0,47,M,2,mestrado,casado,$60K - $80K,silver,32,4,2,2,34516.11,1330.44,32
711441333,0,43,F,1,ensino medio,divorciado,menos que $40K,silver,35,3,2,2,10514.17,1229.2,27
719808558,1,55,F,2,mestrado,casado,menos que $40K,blue,43,2,3,4,1438.49,886.93,27
711551958,1,59,M,2,doutorado,casado,$60K - $80K,blue,46,3,3,3,1438.61,844.25,24
809164083,0,63,M,1,mestrado,casado,$40K - $60K,blue,56,2,2,1,2619.5,1450.42,37
820596183,0,58,M,2,graduacao,casado,$120K +,blue,53,2,0,3,24407.22,2311.68,48
715999608,0,53,F,2,ensino medio,casado,menos que $40K,blue,36,4,2,1,2377.87,1378.54,26
805543158,0,52,M,3,mestrado,casado,$120K +,blue,47,5,3,3,11086.88,1523.79,40
709752183,0,48,M,3,ensino medio,solteiro,$60K - $80K,blue,36,4,2,2,11432.33,1374.92,37
716479233,0,43,M,4,ensino medio,casado,$40K - $60K,blue,36,5,2,3,13258.87,1080.19,21
713837058,0,48,M,2,graduacao,solteiro,menos que $40K,blue,36,3,3,2,2571.08,1234.81,24
718876683,0,43,F,4,mestrado,solteiro,menos que $40K,blue,31,5,0,2,5781.12,1600.6,32
794843883,0,41,M,3,ensino medio,casado,$80K - $120K,blue,35,6,2,1,34516.35,1353.8,33
803043933,0,44,F,3,sem educacao formal,divorciado,menos que $40K,silver,38,4,3,1,11127.32,1546.08,25
714606558,0,60,F,1,sem educacao formal,casado,menos que $40K,blue,36,5,0,1,1913.52,1448.98,22
778425408,0,44,M,4,mestrado,solteiro,$80K - $120K,blue,24,5,0,3,3839.33,1271.61,24
714171108,0,48,F,3,mestrado,divorciado,$40K - $60K,blue,39,6,3,2,2115.68,1223.72,20
719662458,0,44,F,2,mestrado,divorciado,menos que $40K,blue,27,5,2,2,1438.34,1117.13,29
713137233,0,41,M,2,ensino medio,solteiro,$80K - $120K,blue,28,4,0,3,27756.93,994.1,24
769425858,0,45,M,3,graduacao,solteiro,$60K - $80K,blue,32,4,2,1,1438.92,1468.3,26
711297483,0,47,F,2,sem educacao formal,divorciado,menos que $40K,silver,34,6,2,4,13878.33,1658.13,38
788900883,0,51,F,2,mestrado,casado,menos que $40K,blue,36,3,3,1,3106.63,1368.17,38
758348808,0,51,M,2,mestrado,casado,$120K +,blue,44,4,3,3,34516.68,1218.41,18
772336458,1,60,F,1,sem educacao formal,casado,$40K - $60K,blue,50,4,3,4,1438.57,702.15,12
717906783,0,41,M,5,mestrado,solteiro,$120K +,blue,29,5,2,2,5207.73,1310.79,26
719437908,0,44,M,3,doutorado,divorciado,$80K - $120K,blue,36,6,2,2,17965.69,1767.49,50
769433508,0,43,M,1,graduacao,solteiro,$60K - $80K,blue,37,6,3,3,2733.26,933.05,25
790096533,0,55,M,2,graduacao,casado,$60K - $80K,blue,48,4,2,3,8863.91,1512.98,27
720997383,1,52,M,1,sem educacao formal,casado,$80K - $120K,blue,36,2,3,3,1857.31,829.9,17
709930758,0,41,M,2,sem educacao formal,casado,$40K - $60K,blue,30,5,3,3,11107.94,1506.36,33
710741208,0,39,M,2,ensino medio,solteiro,$80K - $120K,blue,36,4,2,2,5269.71,2094.18,25
821797008,1,49,M,5,graduacao,casado,$40K - $60K,blue,45,2,3,2,1438.71,815.11,21
708874533,1,45,F,2,graduacao,casado,menos que $40K,blue,36,1,2,3,3387.36,510.16,24
715341858,0,54,M,2,mestrado,casado,$80K - $120K,blue,46,6,3,2,1982.76,1377.75,49
793636308,0,49,M,3,sem educacao formal,solteiro,$80K - $120K,blue,43,2,2,2,4645.64,1193.5,33
712125258,1,46,M,4,ensino medio,casado,$120K +,blue,30,3,3,3,2442.35,701.37,19
709703433,0,47,M,3,mestrado,casado,$60K - $80K,blue,38,4,2,1,21304.91,1770.89,25
721022433,0,44,M,2,doutorado,solteiro,$60K - $80K,blue,36,5,2,1,7577.25,1409.86,35
710103558,0,50,M,3,doutorado,solteiro,$120K +,blue,31,4,2,1,3234.67,1354.89,28
715952883,0,73,M,0,ensino medio,casado,$40K - $60K,blue,36,5,2,3,4469.13,1765.87,34
772390908,1,59,M,0,ensino medio,solteiro,$40K - $60K,blue,48,2,3,4,3616.78,687.81,17
787348608,0,70,M,0,ensino medio,casado,menos que $40K,blue,56,3,3,2,3252.0,1227.27,15
709485033,0,55,F,2,ensino medio,casado,menos que $40K,blue,36,4,3,3,2358.65,1737.67,26
799471833,0,45,M,1,sem educacao formal,solteiro,$120K +,blue,39,4,2,2,3133.64,1435.15,38
714187533,0,45,F,2,sem educacao formal,solteiro,$40K - $60K,blue,35,2,0,3,3540.83,1321.66,28
779656908,0,40,M,1,mestrado,casado,$40K - $60K,blue,23,6,2,3,6990.3,1479.15,29
778867533,1,59,F,0,doutorado,casado,$40K - $60K,blue,40,1,1,4,1438.04,689.19,23
789483333,0,41,M,2,sem educacao formal,casado,$40K - $60K,blue,32,5,3,1,5214.54,1258.13,23
809855808,0,51,F,2,mestrado,casado,menos que $40K,blue,46,5,2,2,5207.14,1339.25,20
771809733,1,64,F,0,ensino medio,casado,$40K - $60K,blue,53,1,3,3,3353.71,960.89,18
719942883,0,54,M,5,mestrado,casado,$60K - $80K,blue,38,3,3,3,2290.0,1119.88,18
717806133,0,40,M,2,sem educacao formal,divorciado,$60K - $80K,blue,29,5,0,3,23603.57,1382.43,31
720615708,0,57,M,0,sem educacao formal,casado,$40K - $60K,blue,45,6,2,2,2601.63,1232.15,32
714511758,0,45,M,4,mestrado,solteiro,$80K - $120K,blue,40,4,0,3,6363.6,1542.87,16
715050408,0,41,M,3,ensino medio,solteiro,$80K - $120K,blue,36,4,3,3,8029.36,1094.01,32
721132233,0,42,F,4,sem educacao formal,casado,menos que $40K,blue,31,2,2,2,2410.63,1217.56,30
719211558,1,45,M,2,mestrado,solteiro,$60K - $80K,blue,36,1,2,1,3401.34,744.28,18
712069008,0,42,F,4,sem educacao formal,casado,menos que $40K,blue,23,4,0,2,2260.02,1614.08,33
715996983,0,47,M,4,sem educacao formal,divorciado,$80K - $120K,blue,30,5,2,2,17682.03,1747.49,31
773466258,0,48,F,4,ensino medio,casado,$40K - $60K,blue,42,3,3,1,4206.65,1144.35,22
798983508,0,43,M,1,mestrado,solteiro,$80K - $120K,silver,37,4,2,3,34516.15,1575.13,34
716451183,0,54,F,1,sem educacao formal,casado,$40K - $60K,blue,44,5,3,2,5556.64,1706.57,21
715085733,0,61,M,0,mestrado,casado,$40K - $60K,blue,52,3,2,1,2939.87,2434.79,33
788977833,0,61,M,0,sem educacao formal,casado,$80K - $120K,blue,48,2,0,1,5362.12,1876.13,41
720272958,1,48,M,2,ensino medio,casado,$120K +,blue,36,3,3,3,27126.02,1000.75,25
708421833,0,45,F,4,mestrado,solteiro,menos que $40K,blue,36,6,2,3,3342.44,1139.19,30
715120608,0,44,M,3,mestrado,solteiro,$60K - $80K,blue,37,2,2,3,14546.36,1273.1,27
779078733,0,55,M,2,doutorado,casado,$60K - $80K,blue,36,3,3,4,16427.37,1579.45,36
720250158,0,45,M,2,graduacao,solteiro,$60K - $80K,blue,33,6,0,3,23218.54,1749.28,37
716458983,0,60,M,0,ensino medio,casado,$40K - $60K,blue,36,5,3,1,3281.26,1424.52,29
713747733,0,55,M,2,ensino medio,casado,$40K - $60K,blue,47,5,2,3,3096.03,2011.99,41
712270158,0,62,F,0,ensino medio,casado,$40K - $60K,blue,52,5,3,2,2052.34,1208.58,31
754897008,0,46,M,3,ensino medio,solteiro,$40K - $60K,blue,39,2,2,3,9432.64,1319.74,26
819700533,0,50,M,0,ensino medio,solteiro,$120K +,silver,45,5,3,2,14938.19,949.7,27
712890408,0,45,M,2,sem educacao formal,casado,$60K - $80K,blue,36,5,2,3,2221.64,1338.09,30
720248208,0,47,M,3,doutorado,divorciado,$60K - $80K,blue,37,6,0,3,5731.58,1554.39,26
779749908,0,48,M,4,graduacao,casado,$60K - $80K,gold,33,2,3,2,34516.94,1350.53,32
717401883,0,35,M,3,sem educacao formal,casado,$60K - $80K,blue,22,5,2,2,6985.17,1694.63,44
721509558,0,51,M,2,mestrado,casado,$120K +,blue,42,3,0,3,24221.87,1678.66,40
714576183,0,47,M,4,mestrado,solteiro,$80K - $120K,blue,36,6,2,3,21637.35,1222.79,23
721425558,0,52,M,2,mestrado,solteiro,$120K +,blue,37,2,2,3,14543.72,1536.56,37
711109908,0,43,F,4,sem educacao formal,casado,menos que $40K,blue,36,2,1,1,9684.93,1400.29,31
715203108,0,63,M,2,ensino medio,casado,$40K - $60K,blue,36,2,2,2,5007.61,1050.52,28
710027508,0,61,M,0,mestrado,casado,$60K - $80K,blue,54,3,0,2,1616.44,1389.6,33
787464408,0,53,M,2,sem educacao formal,solteiro,$60K - $80K,blue,40,5,2,2,19116.74,1184.3,29
783542133,0,53,F,3,mestrado,casado,menos que $40K,blue,47,5,2,6,2759.61,2093.03,42
708330858,1,57,M,3,mestrado,casado,$120K +,blue,38,2,3,3,8249.68,678.76,11
712701333,0,53,M,3,ensino medio,casado,$60K - $80K,blue,43,5,2,3,5264.55,1219.05,27
773373108,0,49,F,4,ensino medio,casado,menos que $40K,blue,43,4,0,2,2826.24,1025.22,28
715812258,0,45,M,2,ensino medio,casado,$80K - $120K,blue,34,5,2,5,12518.07,1165.97,33
778286433,0,67,M,0,mestrado,casado,$40K - $60K,blue,56,4,1,2,5876.9,2133.4,55
789270033,0,48,M,3,mestrado,solteiro,$80K - $120K,silver,37,3,3,2,34516.45,1122.25,13
711569433,0,51,F,2,sem educacao formal,divorciado,menos que $40K,blue,38,4,2,1,9648.6,1083.67,22
720214833,0,52,M,2,ensino medio,solteiro,$80K - $120K,silver,40,3,3,3,34516.34,1234.15,23
788194458,0,34,M,3,ensino medio,casado,$60K - $80K,blue,26,4,3,3,3265.81,1843.56,35
720779733,0,56,M,1,sem educacao formal,casado,$120K +,blue,36,3,2,2,6041.1,1747.65,49
717424458,0,44,F,2,doutorado,casado,menos que $40K,blue,36,3,2,3,2293.74,1166.3,22
770590758,0,43,F,3,mestrado,solteiro,$40K - $60K,blue,29,5,0,2,3378.72,1285.61,16
718490658,0,50,F,1,mestrado,solteiro,menos que $40K,blue,36,4,3,1,5012.65,1142.42,28
711985833,0,38,F,4,sem educacao formal,solteiro,menos que $40K,blue,30,4,0,1,2569.1,1190.87,46
708967608,0,53,F,1,mestrado,solteiro,menos que $40K,blue,45,3,2,1,3471.41,1052.59,24
718505958,0,43,M,5,mestrado,divorciado,$120K +,silver,31,5,3,3,34516.45,1628.24,38
715024233,0,53,M,1,ensino medio,casado,$120K +,blue,36,6,2,3,3312.27,1740.69,32
779249583,0,56,F,1,mestrado,casado,menos que $40K,blue,38,4,3,3,2578.8,1378.69,29
778928283,0,57,F,3,ensino medio,casado,menos que $40K,blue,39,3,1,2,2742.66,1389.74,32
712299858,0,62,M,1,ensino medio,casado,menos que $40K,blue,53,5,3,3,2077.33,1365.1,38
799224108,0,46,F,4,mestrado,solteiro,menos que $40K,blue,40,5,2,1,6265.85,1715.26,43
809976033,0,49,M,2,sem educacao formal,casado,$60K - $80K,blue,44,6,0,3,7819.45,1582.69,25
716203308,0,52,M,3,mestrado,solteiro,$80K - $120K,blue,42,6,3,3,2731.13,1220.43,22
714871683,1,58,M,1,sem educacao formal,casado,$40K - $60K,blue,36,2,3,4,1438.23,715.18,13
716139933,0,54,M,0,ensino medio,casado,$80K - $120K,blue,36,3,2,1,16286.97,2552.41,49
716984658,0,49,M,1,mestrado,casado,$120K +,blue,39,3,3,2,34516.58,1106.62,31
713086008,0,58,F,3,ensino medio,casado,menos que $40K,blue,47,6,0,1,2609.01,1731.12,34
713773458,0,52,M,2,ensino medio,solteiro,$60K - $80K,blue,45,5,2,3,7567.16,1435.34,32
719242533,0,41,M,5,ensino medio,casado,$60K - $80K,blue,33,5,3,3,22770.58,1882.5,38
772712658,0,62,F,0,sem educacao formal,casado,menos que $40K,blue,50,5,2,1,3791.82,2058.17,34
