id,default,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,limite_credito,predict
717929133,0,44,M,1,sem educacao formal,casado,$60K - $80K,blue,14450.88,-
710916408,0,57,M,4,mestrado,casado,$60K - $80K,blue,8466.12,-
799825758,0,42,M,4,ensino medio,divorciado,$60K - $80K,blue,3263.41,-
718619883,0,54,F,0,sem educacao formal,casado,menos que $40K,blue,1494.38,-
711844758,0,48,M,3,mestrado,solteiro,$80K - $120K,blue,13551.14,-
714798783,0,49,M,1,mestrado,solteiro,$80K - $120K,blue,18886.97,-
771894558,0,50,M,3,ensino medio,solteiro,$80K - $120K,blue,9964.79,-
721074183,0,49,M,1,doutorado,casado,$60K - $80K,blue,24159.65,-
715259583,0,53,F,2,ensino medio,casado,menos que $40K,blue,5362.37,-
718414008,0,50,M,2,mestrado,solteiro,$120K +,blue,34516.18,-
719666283,0,55,F,1,doutorado,casado,menos que $40K,blue,3174.61,-
714877233,0,53,M,1,ensino medio,casado,$80K - $120K,blue,12262.61,-
785387883,0,47,F,3,ensino medio,solteiro,$40K - $60K,blue,3788.86,-
771075258,0,55,M,2,graduacao,solteiro,$120K +,silver,34516.86,-
711318033,0,47,M,3,mestrado,solteiro,$60K - $80K,blue,2926.27,-
783554958,0,58,M,4,mestrado,solteiro,$120K +,blue,32090.2,-
720201033,1,53,M,2,mestrado,casado,$80K - $120K,blue,11669.07,-
718039683,0,52,M,2,ensino medio,solteiro,$40K - $60K,blue,13532.53,-
714752208,0,42,F,1,mestrado,casado,menos que $40K,blue,2393.25,-
714490308,0,57,M,4,mestrado,casado,$80K - $120K,blue,19270.57,-
713356833,0,52,M,1,mestrado,casado,$80K - $120K,blue,3710.96,-
711402333,0,47,M,2,doutorado,solteiro,menos que $40K,blue,3235.89,-
708296883,0,44,F,3,mestrado,solteiro,$40K - $60K,blue,11749.97,-
719154483,0,53,M,2,ensino medio,divorciado,$60K - $80K,blue,7753.7,-
717721458,0,45,M,4,graduacao,divorciado,$60K - $80K,blue,10408.7,-
715674483,0,39,F,2,doutorado,solteiro,menos que $40K,blue,6205.29,-
789322833,1,48,F,5,ensino medio,casado,menos que $40K,blue,8025.36,-
709919283,0,54,M,4,mestrado,casado,$80K - $120K,blue,14926.65,-
718744008,0,59,F,1,mestrado,solteiro,menos que $40K,blue,6335.1,-
767712558,1,59,M,1,graduacao,solteiro,$60K - $80K,blue,14979.44,-
712950783,1,48,F,4,sem educacao formal,casado,menos que $40K,blue,2732.31,-
716104983,0,41,F,2,mestrado,solteiro,menos que $40K,blue,2250.44,-
818839983,0,55,M,2,mestrado,casado,$120K +,blue,10916.64,-
712350858,0,41,M,2,ensino medio,casado,$80K - $120K,blue,9366.58,-
711009708,0,40,M,3,ensino medio,solteiro,$80K - $120K,blue,21617.54,-
712215258,0,50,F,1,mestrado,solteiro,$40K - $60K,silver,18386.59,-
773827008,0,47,M,4,sem educacao formal,solteiro,$60K - $80K,blue,2405.01,-
795232683,0,53,F,1,graduacao,casado,menos que $40K,blue,2154.12,-
713539833,0,48,F,4,ensino medio,solteiro,$40K - $60K,blue,8135.26,-
712454058,0,49,M,1,doutorado,casado,$120K +,blue,9364.93,-
718803333,0,43,F,4,mestrado,divorciado,menos que $40K,blue,3195.43,-
720253908,0,56,M,0,ensino medio,casado,$80K - $120K,blue,2852.61,-
713187033,0,46,M,1,sem educacao formal,casado,$60K - $80K,blue,20459.84,-
772426383,0,50,F,4,sem educacao formal,casado,$40K - $60K,blue,3065.19,-
710975883,0,51,F,3,sem educacao formal,casado,menos que $40K,blue,2185.8,-
714264408,0,47,F,3,sem educacao formal,casado,menos que $40K,blue,1611.04,-
715827858,0,58,F,4,sem educacao formal,casado,menos que $40K,blue,2822.92,-
713741358,1,46,M,5,mestrado,solteiro,$80K - $120K,blue,32975.61,-
709531908,0,53,M,3,ensino medio,casado,$60K - $80K,blue,1438.57,-
714141108,0,52,F,1,ensino medio,casado,menos que $40K,blue,6703.28,-
712608783,0,50,M,2,ensino medio,casado,$80K - $120K,silver,34516.22,-
820353558,0,41,F,3,ensino medio,casado,$40K - $60K,blue,9797.65,-
714964758,0,45,F,5,mestrado,divorciado,$40K - $60K,blue,10400.82,-
716264358,0,53,M,3,sem educacao formal,casado,$80K - $120K,blue,26792.84,-
717296808,0,67,F,1,mestrado,casado,menos que $40K,blue,3006.0,-
712977183,0,57,F,2,sem educacao formal,solteiro,$40K - $60K,silver,19482.96,-
710829108,0,59,F,1,sem educacao formal,casado,$40K - $60K,blue,3356.53,-
779562633,0,45,M,2,sem educacao formal,casado,$40K - $60K,blue,5771.6,-
715315833,0,51,M,3,mestrado,casado,$80K - $120K,blue,11106.73,-
815500983,0,59,F,1,sem educacao formal,casado,menos que $40K,blue,2890.26,-
719360583,0,53,M,1,mestrado,casado,$60K - $80K,blue,3380.75,-
709701558,0,47,M,3,mestrado,casado,$60K - $80K,blue,21331.23,-
779862408,0,49,M,3,doutorado,solteiro,$80K - $120K,blue,6278.72,-
812627208,0,60,F,0,graduacao,solteiro,menos que $40K,blue,1439.0,-
711033408,0,50,F,2,ensino medio,casado,menos que $40K,blue,9355.72,-
780376683,0,57,M,1,mestrado,casado,$80K - $120K,blue,14612.54,-
714454758,0,57,F,3,mestrado,casado,menos que $40K,blue,6347.04,-
780466533,0,54,M,3,doutorado,casado,$120K +,blue,21592.49,-
715735233,0,51,F,5,doutorado,casado,menos que $40K,blue,3449.71,-
720476733,0,47,F,3,ensino medio,casado,menos que $40K,blue,6028.25,-
712375758,0,53,M,3,sem educacao formal,casado,$80K - $120K,blue,16393.47,-
718030083,0,59,M,1,graduacao,casado,$60K - $80K,blue,7871.3,-
771698658,0,44,M,5,mestrado,casado,$60K - $80K,blue,11376.03,-
748326258,0,48,M,3,graduacao,casado,$80K - $120K,blue,12302.46,-
770817783,0,47,M,4,mestrado,casado,$60K - $80K,silver,34516.23,-
779353083,0,47,M,2,mestrado,casado,$60K - $80K,silver,34516.11,-
711441333,0,43,F,1,ensino medio,divorciado,menos que $40K,silver,10514.17,-
719808558,1,55,F,2,mestrado,casado,menos que $40K,blue,1438.49,-
711551958,1,59,M,2,doutorado,casado,$60K - $80K,blue,1438.61,-
809164083,0,63,M,1,mestrado,casado,$40K - $60K,blue,2619.5,-
820596183,0,58,M,2,graduacao,casado,$120K +,blue,24407.22,-
715999608,0,53,F,2,ensino medio,casado,menos que $40K,blue,2377.87,-
805543158,0,52,M,3,mestrado,casado,$120K +,blue,11086.88,-
709752183,0,48,M,3,ensino medio,solteiro,$60K - $80K,blue,11432.33,-
716479233,0,43,M,4,ensino medio,casado,$40K - $60K,blue,13258.87,-
713837058,0,48,M,2,graduacao,solteiro,menos que $40K,blue,2571.08,-
718876683,0,43,F,4,mestrado,solteiro,menos que $40K,blue,5781.12,-
794843883,0,41,M,3,ensino medio,casado,$80K - $120K,blue,34516.35,-
803043933,0,44,F,3,sem educacao formal,divorciado,menos que $40K,silver,11127.32,-
714606558,0,60,F,1,sem educacao formal,casado,menos que $40K,blue,1913.52,-
778425408,0,44,M,4,mestrado,solteiro,$80K - $120K,blue,3839.33,-
714171108,0,48,F,3,mestrado,divorciado,$40K - $60K,blue,2115.68,-
719662458,0,44,F,2,mestrado,divorciado,menos que $40K,blue,1438.34,-
713137233,0,41,M,2,ensino medio,solteiro,$80K - $120K,blue,27756.93,-
769425858,0,45,M,3,graduacao,solteiro,$60K - $80K,blue,1438.92,-
711297483,0,47,F,2,sem educacao formal,divorciado,menos que $40K,silver,13878.33,-
788900883,0,51,F,2,mestrado,casado,menos que $40K,blue,3106.63,-
758348808,0,51,M,2,mestrado,casado,$120K +,blue,34516.68,-
772336458,1,60,F,1,sem educacao formal,casado,$40K - $60K,blue,1438.57,-
717906783,0,41,M,5,mestrado,solteiro,$120K +,blue,5207.73,-
719437908,0,44,M,3,doutorado,divorciado,$80K - $120K,blue,17965.69,-
769433508,0,43,M,1,graduacao,solteiro,$60K - $80K,blue,2733.26,-
790096533,0,55,M,2,graduacao,casado,$60K - $80K,blue,8863.91,-
720997383,1,52,M,1,sem educacao formal,casado,$80K - $120K,blue,1857.31,-
709930758,0,41,M,2,sem educacao formal,casado,$40K - $60K,blue,11107.94,-
710741208,0,39,M,2,ensino medio,solteiro,$80K - $120K,blue,5269.71,-
821797008,1,49,M,5,graduacao,casado,$40K - $60K,blue,1438.71,-
708874533,1,45,F,2,graduacao,casado,menos que $40K,blue,3387.36,-
715341858,0,54,M,2,mestrado,casado,$80K - $120K,blue,1982.76,-
793636308,0,49,M,3,sem educacao formal,solteiro,$80K - $120K,blue,4645.64,-
712125258,1,46,M,4,ensino medio,casado,$120K +,blue,2442.35,-
709703433,0,47,M,3,mestrado,casado,$60K - $80K,blue,21304.91,-
721022433,0,44,M,2,doutorado,solteiro,$60K - $80K,blue,7577.25,-
710103558,0,50,M,3,doutorado,solteiro,$120K +,blue,3234.67,-
715952883,0,73,M,0,ensino medio,casado,$40K - $60K,blue,4469.13,-
772390908,1,59,M,0,ensino medio,solteiro,$40K - $60K,blue,3616.78,-
787348608,0,70,M,0,ensino medio,casado,menos que $40K,blue,3252.0,-
709485033,0,55,F,2,ensino medio,casado,menos que $40K,blue,2358.65,-
799471833,0,45,M,1,sem educacao formal,solteiro,$120K +,blue,3133.64,-
714187533,0,45,F,2,sem educacao formal,solteiro,$40K - $60K,blue,3540.83,-
779656908,0,40,M,1,mestrado,casado,$40K - $60K,blue,6990.3,-
778867533,1,59,F,0,doutorado,casado,$40K - $60K,blue,1438.04,-
789483333,0,41,M,2,sem educacao formal,casado,$40K - $60K,blue,5214.54,-
809855808,0,51,F,2,mestrado,casado,menos que $40K,blue,5207.14,-
771809733,1,64,F,0,ensino medio,casado,$40K - $60K,blue,3353.71,-
719942883,0,54,M,5,mestrado,casado,$60K - $80K,blue,2290.0,-
717806133,0,40,M,2,sem educacao formal,divorciado,$60K - $80K,blue,23603.57,-
720615708,0,57,M,0,sem educacao formal,casado,$40K - $60K,blue,2601.63,-
714511758,0,45,M,4,mestrado,solteiro,$80K - $120K,blue,6363.6,-
715050408,0,41,M,3,ensino medio,solteiro,$80K - $120K,blue,8029.36,-
721132233,0,42,F,4,sem educacao formal,casado,menos que $40K,blue,2410.63,-
719211558,1,45,M,2,mestrado,solteiro,$60K - $80K,blue,3401.34,-
712069008,0,42,F,4,sem educacao formal,casado,menos que $40K,blue,2260.02,-
715996983,0,47,M,4,sem educacao formal,divorciado,$80K - $120K,blue,17682.03,-
773466258,0,48,F,4,ensino medio,casado,$40K - $60K,blue,4206.65,-
798983508,0,43,M,1,mestrado,solteiro,$80K - $120K,silver,34516.15,-
716451183,0,54,F,1,sem educacao formal,casado,$40K - $60K,blue,5556.64,-
715085733,0,61,M,0,mestrado,casado,$40K - $60K,blue,2939.87,-
788977833,0,61,M,0,sem educacao formal,casado,$80K - $120K,blue,5362.12,-
720272958,1,48,M,2,ensino medio,casado,$120K +,blue,27126.02,-
708421833,0,45,F,4,mestrado,solteiro,menos que $40K,blue,3342.44,-
715120608,0,44,M,3,mestrado,solteiro,$60K - $80K,blue,14546.36,-
779078733,0,55,M,2,doutorado,casado,$60K - $80K,blue,16427.37,-
720250158,0,45,M,2,graduacao,solteiro,$60K - $80K,blue,23218.54,-
716458983,0,60,M,0,ensino medio,casado,$40K - $60K,blue,3281.26,-
713747733,0,55,M,2,ensino medio,casado,$40K - $60K,blue,3096.03,-
712270158,0,62,F,0,ensino medio,casado,$40K - $60K,blue,2052.34,-
754897008,0,46,M,3,ensino medio,solteiro,$40K - $60K,blue,9432.64,-
819700533,0,50,M,0,ensino medio,solteiro,$120K +,silver,14938.19,-
712890408,0,45,M,2,sem educacao formal,casado,$60K - $80K,blue,2221.64,-
720248208,0,47,M,3,doutorado,divorciado,$60K - $80K,blue,5731.58,-
779749908,0,48,M,4,graduacao,casado,$60K - $80K,gold,34516.94,-
717401883,0,35,M,3,sem educacao formal,casado,$60K - $80K,blue,6985.17,-
721509558,0,51,M,2,mestrado,casado,$120K +,blue,24221.87,-
714576183,0,47,M,4,mestrado,solteiro,$80K - $120K,blue,21637.35,-
721425558,0,52,M,2,mestrado,solteiro,$120K +,blue,14543.72,-
711109908,0,43,F,4,sem educacao formal,casado,menos que $40K,blue,9684.93,-
715203108,0,63,M,2,ensino medio,casado,$40K - $60K,blue,5007.61,-
710027508,0,61,M,0,mestrado,casado,$60K - $80K,blue,1616.44,-
787464408,0,53,M,2,sem educacao formal,solteiro,$60K - $80K,blue,19116.74,-
783542133,0,53,F,3,mestrado,casado,menos que $40K,blue,2759.61,-
708330858,1,57,M,3,mestrado,casado,$120K +,blue,8249.68,-
712701333,0,53,M,3,ensino medio,casado,$60K - $80K,blue,5264.55,-
773373108,0,49,F,4,ensino medio,casado,menos que $40K,blue,2826.24,-
715812258,0,45,M,2,ensino medio,casado,$80K - $120K,blue,12518.07,-
778286433,0,67,M,0,mestrado,casado,$40K - $60K,blue,5876.9,-
789270033,0,48,M,3,mestrado,solteiro,$80K - $120K,silver,34516.45,-
711569433,0,51,F,2,sem educacao formal,divorciado,menos que $40K,blue,9648.6,-
720214833,0,52,M,2,ensino medio,solteiro,$80K - $120K,silver,34516.34,-
788194458,0,34,M,3,ensino medio,casado,$60K - $80K,blue,3265.81,-
720779733,0,56,M,1,sem educacao formal,casado,$120K +,blue,6041.1,-
717424458,0,44,F,2,doutorado,casado,menos que $40K,blue,2293.74,-
770590758,0,43,F,3,mestrado,solteiro,$40K - $60K,blue,3378.72,-
718490658,0,50,F,1,mestrado,solteiro,menos que $40K,blue,5012.65,-
711985833,0,38,F,4,sem educacao formal,solteiro,menos que $40K,blue,2569.1,-
708967608,0,53,F,1,mestrado,solteiro,menos que $40K,blue,3471.41,-
718505958,0,43,M,5,mestrado,divorciado,$120K +,silver,34516.45,-
715024233,0,53,M,1,ensino medio,casado,$120K +,blue,3312.27,-
779249583,0,56,F,1,mestrado,casado,menos que $40K,blue,2578.8,-
778928283,0,57,F,3,ensino medio,casado,menos que $40K,blue,2742.66,-
712299858,0,62,M,1,ensino medio,casado,menos que $40K,blue,2077.33,-
799224108,0,46,F,4,mestrado,solteiro,menos que $40K,blue,6265.85,-
809976033,0,49,M,2,sem educacao formal,casado,$60K - $80K,blue,7819.45,-
716203308,0,52,M,3,mestrado,solteiro,$80K - $120K,blue,2731.13,-
714871683,1,58,M,1,sem educacao formal,casado,$40K - $60K,blue,1438.23,-
716139933,0,54,M,0,ensino medio,casado,$80K - $120K,blue,16286.97,-
716984658,0,49,M,1,mestrado,casado,$120K +,blue,34516.58,-
713086008,0,58,F,3,ensino medio,casado,menos que $40K,blue,2609.01,-
713773458,0,52,M,2,ensino medio,solteiro,$60K - $80K,blue,7567.16,-
719242533,0,41,M,5,ensino medio,casado,$60K - $80K,blue,22770.58,-
772712658,0,62,F,0,sem educacao formal,casado,menos que $40K,blue,3791.82,-
788868858,0,54,M,2,mestrado,casado,menos que $40K,blue,2702.09,-
811898133,0,40,F,3,ensino medio,divorciado,menos que $40K,blue,2555.83,-
788808633,0,43,M,3,mestrado,casado,$80K - $120K,blue,2355.74,-
779804208,0,53,F,2,mestrado,solteiro,$40K - $60K,blue,5332.95,-
781391058,0,55,M,1,sem educacao formal,solteiro,$40K - $60K,blue,1443.22,-
790134408,0,46,M,4,mestrado,solteiro,$60K - $80K,blue,10741.31,-
788853258,0,41,M,1,sem educacao formal,casado,$60K - $80K,blue,7984.59,-
711857733,0,49,M,3,sem educacao formal,solteiro,$60K - $80K,blue,18584.78,-
719554758,0,46,M,2,sem educacao formal,casado,$80K - $120K,blue,34516.15,-
711643458,0,50,F,1,sem educacao formal,casado,menos que $40K,blue,1438.31,-
788830683,0,40,M,2,mestrado,solteiro,$80K - $120K,blue,2478.3,-
807030858,0,51,M,4,ensino medio,solteiro,$120K +,blue,34516.25,-
793059108,0,50,F,2,mestrado,casado,$40K - $60K,blue,2339.82,-
716568708,0,47,F,2,mestrado,casado,menos que $40K,blue,2726.65,-
717229158,0,36,F,4,mestrado,casado,$40K - $60K,blue,1628.54,-
715915458,0,47,F,2,mestrado,casado,menos que $40K,blue,3156.16,-
819129858,0,46,F,2,mestrado,solteiro,menos que $40K,blue,4745.56,-
713441958,0,46,M,2,ensino medio,casado,$120K +,blue,19727.27,-
719091333,0,52,M,0,sem educacao formal,casado,$60K - $80K,blue,22720.12,-
714914583,0,40,F,4,mestrado,solteiro,menos que $40K,blue,3751.64,-
714363858,0,54,F,4,ensino medio,casado,menos que $40K,blue,1594.95,-
721347408,0,55,F,1,ensino medio,solteiro,menos que $40K,blue,2569.81,-
772047183,0,45,M,4,ensino medio,casado,$40K - $60K,blue,3104.08,-
714217908,0,49,M,3,mestrado,casado,$40K - $60K,blue,2406.44,-
714819183,0,63,M,1,sem educacao formal,casado,$80K - $120K,blue,24572.0,-
716455683,0,40,F,3,ensino medio,solteiro,menos que $40K,gold,15534.85,-
710865633,0,41,F,2,mestrado,casado,menos que $40K,silver,12301.26,-
752952108,0,37,M,4,mestrado,casado,$80K - $120K,blue,2846.62,-
714982383,0,55,M,2,ensino medio,casado,$60K - $80K,blue,7231.03,-
813814008,0,53,F,1,ensino medio,casado,menos que $40K,blue,2324.47,-
794545983,0,57,M,2,mestrado,casado,$80K - $120K,blue,12208.45,-
715585158,0,58,M,1,mestrado,casado,$60K - $80K,blue,10021.42,-
789863208,0,54,F,2,mestrado,casado,menos que $40K,blue,2027.76,-
715022133,0,53,M,2,mestrado,casado,$60K - $80K,blue,6363.88,-
712506708,0,39,F,3,graduacao,solteiro,menos que $40K,blue,3920.86,-
715699983,0,56,M,3,ensino medio,casado,$60K - $80K,blue,9226.7,-
712459233,0,59,F,1,doutorado,casado,$40K - $60K,blue,1944.32,-
716545383,0,42,M,3,sem educacao formal,solteiro,$40K - $60K,blue,9599.03,-
721144383,0,42,M,4,mestrado,casado,$60K - $80K,silver,28202.31,-
804359133,0,55,M,0,ensino medio,casado,$120K +,blue,3805.2,-
713308683,0,52,M,1,sem educacao formal,solteiro,$80K - $120K,blue,2733.85,-
717354558,1,57,M,2,sem educacao formal,casado,$120K +,blue,3106.12,-
798473808,0,48,M,3,graduacao,casado,$80K - $120K,blue,7477.58,-
715192308,0,48,M,2,ensino medio,casado,$120K +,blue,29963.34,-
708813033,0,47,M,1,mestrado,solteiro,$40K - $60K,blue,6509.42,-
714639783,1,42,M,3,graduacao,casado,$60K - $80K,blue,13450.22,-
709470858,0,51,M,4,graduacao,casado,$120K +,silver,34516.1,-
717292758,0,55,F,2,mestrado,solteiro,menos que $40K,blue,6347.91,-
779241783,0,67,M,1,sem educacao formal,casado,$40K - $60K,blue,3106.57,-
715205358,0,39,M,1,mestrado,casado,$60K - $80K,blue,2536.27,-
778871508,0,54,M,3,doutorado,solteiro,$60K - $80K,blue,13048.6,-
710147958,0,47,M,3,ensino medio,casado,$40K - $60K,silver,16138.29,-
709864833,0,49,M,2,doutorado,casado,$60K - $80K,blue,8077.65,-
778868958,1,42,F,2,mestrado,casado,menos que $40K,blue,1929.53,-
710004933,0,44,M,5,sem educacao formal,casado,$60K - $80K,blue,8645.74,-
710940183,1,49,F,3,mestrado,casado,menos que $40K,blue,2185.35,-
718927533,0,45,M,3,mestrado,solteiro,$80K - $120K,blue,24487.13,-
719337408,0,63,M,0,ensino medio,casado,$60K - $80K,blue,2567.81,-
772308408,0,44,M,3,mestrado,solteiro,$80K - $120K,blue,4131.35,-
712981383,0,44,F,4,graduacao,casado,menos que $40K,silver,10790.91,-
790099758,0,40,M,3,ensino medio,casado,$40K - $60K,blue,6884.71,-
709547658,1,39,M,2,sem educacao formal,solteiro,$60K - $80K,blue,13961.22,-
778770783,0,42,M,4,ensino medio,casado,$80K - $120K,blue,29801.87,-
713134458,0,54,M,3,ensino medio,casado,$120K +,blue,13219.59,-
713639958,0,46,F,4,mestrado,divorciado,menos que $40K,blue,9478.46,-
711089733,0,50,F,2,graduacao,divorciado,menos que $40K,blue,1491.47,-
716988633,0,55,M,0,ensino medio,divorciado,$60K - $80K,blue,9734.1,-
779031033,0,46,F,2,mestrado,casado,$40K - $60K,blue,2305.95,-
716302383,0,47,F,4,sem educacao formal,casado,$40K - $60K,blue,14241.25,-
721333233,0,40,M,4,doutorado,divorciado,$60K - $80K,blue,23138.99,-
814995933,0,58,F,3,mestrado,casado,menos que $40K,blue,5798.11,-
721469433,0,48,M,3,mestrado,solteiro,$40K - $60K,blue,6880.15,-
717198633,0,53,F,2,graduacao,casado,$40K - $60K,blue,2075.97,-
767695083,0,50,M,2,mestrado,casado,$80K - $120K,blue,4589.7,-
711791583,1,52,F,1,mestrado,solteiro,menos que $40K,blue,2317.39,-
712315683,1,53,F,2,sem educacao formal,solteiro,menos que $40K,blue,1981.93,-
710038008,0,56,F,1,mestrado,solteiro,$40K - $60K,blue,6038.72,-
718349058,0,49,M,3,ensino medio,casado,$80K - $120K,blue,29659.48,-
789842283,1,54,M,2,mestrado,casado,$60K - $80K,blue,4320.56,-
714900408,0,41,F,4,ensino medio,solteiro,menos que $40K,blue,5773.68,-
719418933,1,53,M,2,sem educacao formal,casado,$80K - $120K,blue,4503.98,-
720115683,0,47,M,3,sem educacao formal,casado,$80K - $120K,blue,29770.89,-
779504058,0,46,F,2,doutorado,casado,menos que $40K,blue,5014.07,-
795979833,0,53,F,1,ensino medio,casado,menos que $40K,blue,3445.73,-
717392358,0,60,M,1,mestrado,casado,$80K - $120K,blue,23412.47,-
718640508,0,59,F,0,mestrado,solteiro,menos que $40K,blue,3044.23,-
709230708,0,56,M,4,sem educacao formal,solteiro,menos que $40K,blue,3864.94,-
801383808,0,50,M,3,mestrado,solteiro,$60K - $80K,blue,23090.96,-
708217758,0,63,M,2,mestrado,casado,$60K - $80K,blue,14035.68,-
714272658,1,43,F,2,sem educacao formal,solteiro,menos que $40K,blue,2962.93,-
